PING ycombinator.com (52.84.169.3) 56(84) bytes of data.
64 bytes from 52.84.169.3: icmp_seq=170 ttl=243 time=30.8 ms
64 bytes from 52.84.169.3: icmp_seq=171 ttl=243 time=29.5 ms
64 bytes from 52.84.169.3: icmp_seq=172 ttl=243 time=32.5 ms
64 bytes from 52.84.169.3: icmp_seq=173 ttl=243 time=30.0 ms
64 bytes from 52.84.169.3: icmp_seq=174 ttl=243 time=28.9 ms
64 bytes from 52.84.169.3: icmp_seq=175 ttl=243 time=28.9 ms
64 bytes from 52.84.169.3: icmp_seq=176 ttl=243 time=29.2 ms
64 bytes from 52.84.169.3: icmp_seq=177 ttl=243 time=27.6 ms
64 bytes from 52.84.169.3: icmp_seq=178 ttl=243 time=39.0 ms
64 bytes from 52.84.169.3: icmp_seq=179 ttl=243 time=32.0 ms
64 bytes from 52.84.169.3: icmp_seq=180 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=181 ttl=243 time=29.0 ms
64 bytes from 52.84.169.3: icmp_seq=182 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=183 ttl=243 time=32.0 ms
64 bytes from 52.84.169.3: icmp_seq=184 ttl=243 time=33.8 ms
64 bytes from 52.84.169.3: icmp_seq=185 ttl=243 time=42.1 ms
64 bytes from 52.84.169.3: icmp_seq=186 ttl=243 time=28.7 ms
64 bytes from 52.84.169.3: icmp_seq=187 ttl=243 time=27.5 ms
64 bytes from 52.84.169.3: icmp_seq=188 ttl=243 time=27.6 ms
64 bytes from 52.84.169.3: icmp_seq=189 ttl=243 time=28.4 ms
64 bytes from 52.84.169.3: icmp_seq=190 ttl=243 time=27.9 ms
64 bytes from 52.84.169.3: icmp_seq=191 ttl=243 time=27.8 ms
64 bytes from 52.84.169.3: icmp_seq=192 ttl=243 time=27.2 ms
64 bytes from 52.84.169.3: icmp_seq=193 ttl=243 time=42.3 ms
64 bytes from 52.84.169.3: icmp_seq=194 ttl=243 time=29.0 ms
64 bytes from 52.84.169.3: icmp_seq=195 ttl=243 time=28.9 ms
