PING google.com (142.251.33.78) 56(84) bytes of data.
64 bytes from 142.251.33.78: icmp_seq=359 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=360 ttl=118 time=27.7 ms
64 bytes from 142.251.33.78: icmp_seq=361 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=362 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=363 ttl=118 time=24.9 ms
64 bytes from 142.251.33.78: icmp_seq=364 ttl=118 time=25.4 ms
64 bytes from 142.251.33.78: icmp_seq=365 ttl=118 time=24.1 ms
64 bytes from 142.251.33.78: icmp_seq=366 ttl=118 time=27.9 ms
64 bytes from 142.251.33.78: icmp_seq=367 ttl=118 time=25.1 ms
64 bytes from 142.251.33.78: icmp_seq=368 ttl=118 time=23.7 ms
64 bytes from 142.251.33.78: icmp_seq=369 ttl=118 time=23.9 ms
64 bytes from 142.251.33.78: icmp_seq=370 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=371 ttl=118 time=34.0 ms
64 bytes from 142.251.33.78: icmp_seq=372 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=373 ttl=118 time=23.4 ms
64 bytes from 142.251.33.78: icmp_seq=374 ttl=118 time=25.9 ms
64 bytes from 142.251.33.78: icmp_seq=375 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=376 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=377 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=378 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=379 ttl=118 time=23.8 ms
64 bytes from 142.251.33.78: icmp_seq=380 ttl=118 time=24.8 ms
64 bytes from 142.251.33.78: icmp_seq=381 ttl=118 time=26.9 ms
64 bytes from 142.251.33.78: icmp_seq=382 ttl=118 time=24.0 ms
64 bytes from 142.251.33.78: icmp_seq=383 ttl=118 time=25.3 ms
64 bytes from 142.251.33.78: icmp_seq=384 ttl=118 time=28.0 ms
64 bytes from 142.251.33.78: icmp_seq=385 ttl=118 time=52.6 ms
64 bytes from 142.251.33.78: icmp_seq=386 ttl=118 time=24.4 ms
64 bytes from 142.251.33.78: icmp_seq=387 ttl=118 time=27.4 ms
64 bytes from 142.251.33.78: icmp_seq=388 ttl=118 time=26.2 ms
64 bytes from 142.251.33.78: icmp_seq=389 ttl=118 time=27.4 ms
64 bytes from 142.251.33.78: icmp_seq=390 ttl=118 time=24.3 ms
64 bytes from 142.251.33.78: icmp_seq=391 ttl=118 time=23.5 ms
64 bytes from 142.251.33.78: icmp_seq=392 ttl=118 time=24.2 ms
64 bytes from 142.251.33.78: icmp_seq=393 ttl=118 time=23.6 ms
64 bytes from 142.251.33.78: icmp_seq=394 ttl=118 time=23.7 ms
64 bytes from 142.251.33.78: icmp_seq=395 ttl=118 time=24.0 ms
64 bytes from 142.251.33.78: icmp_seq=396 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=397 ttl=118 time=23.7 ms
64 bytes from 142.251.33.78: icmp_seq=398 ttl=118 time=26.3 ms
64 bytes from 142.251.33.78: icmp_seq=399 ttl=118 time=24.5 ms
64 bytes from 142.251.33.78: icmp_seq=400 ttl=118 time=25.3 ms
64 bytes from 142.251.33.78: icmp_seq=401 ttl=118 time=26.7 ms
64 bytes from 142.251.33.78: icmp_seq=402 ttl=118 time=25.2 ms

--- google.com ping statistics ---
402 packets transmitted, 401 received, 0.248756% packet loss, time 80509ms
rtt min/avg/max/mdev = 23.268/25.638/76.094/4.091 ms
